Sample,Type,Site,Site_Name,Status,Morph,Length,Type_2
Astfood_Z_12,Z,Site 2,Luenga,dead,T,49,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,27,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,21,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,27,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,12,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,29,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,27,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,23,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,18,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,22,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,19,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,16,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,11,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,13,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,13,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,dead,T,14,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,39,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,28,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,31,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,21,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,19,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,18,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,43,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,40,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,26,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,16,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,21,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,15,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,34,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,31,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,19,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,22,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,11,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,19,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,32,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,28,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,24,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,19,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,16,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,19,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,41,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,27,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,30,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,21,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,23,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,18,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,28,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,19,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,23,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,23,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,19,Stage 3
Astfood_Z_1,Z,Site 1,Kurichek,alive,E,17,Stage 3
